upc,product_name,marketing_claims
041100001214,"Coppertone Sport Sunscreen SPF 50","Broad spectrum UVA/UVB protection. Water resistant (80 minutes). Non-greasy formula. Dermatologist recommended. Won't run into eyes. Clinically proven sun protection."
037000711209,"Tide Original Liquid Laundry Detergent","America's #1 detergent. 10x cleaning power. Removes 99% of everyday stains. Safe for all washing machines. Contains no phosphates. Brightens and whitens."
381370044307,"Aveeno Daily Moisturizing Lotion","Clinically proven to moisturize for 24 hours. Fragrance-free. Hypoallergenic. Made with natural colloidal oatmeal. Dermatologist recommended. Non-comedogenic."
012000001086,"Pepsi Cola (12 oz can)","Bold cola taste. Zero sodium. Refreshing since 1893. Made with natural flavors. No artificial preservatives."
037000849247,"Pampers Swaddlers Diapers","#1 hospital choice. Up to 12 hours of overnight protection. All-natural gentle materials. Hypoallergenic. Chemical-free. Wetness indicator."
079400560704,"Energizer MAX AA Batteries","Powers your devices longer. Leak-proof guarantee. Holds power up to 10 years in storage. Made with recycled materials. Mercury-free."
030573000600,"Burt's Bees Beeswax Lip Balm","100% natural ingredients. Moisturizes dry lips. Contains beeswax and vitamin E. No parabens, phthalates, or petrolatum. Dermatologist tested. Eco-friendly packaging."
071249256015,"Method All-Purpose Cleaner","Non-toxic cleaning power. Plant-based formula. Biodegradable ingredients. Kills 99.9% of bacteria. Safe around kids and pets. Cruelty-free."
038000138416,"Kellogg's Frosted Flakes Cereal","Good source of 8 vitamins and minerals. No artificial colors or flavors. Heart-healthy whole grains. Low fat. Made with real corn."
037000946564,"Febreze Air Freshener","Eliminates odors (not just masks them). 100% natural propellant. Safe for everyday use. Lasts up to 45 days. Allergen-free formula."
309975414028,"Vaseline Original Healing Jelly","Clinically proven to help heal dry skin. 100% pure petroleum jelly. Triple-purified. Hypoallergenic. Dermatologist recommended. Non-comedogenic."
041167016213,"CeraVe Moisturizing Cream","Developed with dermatologists. Contains 3 essential ceramides. MVE Technology for 24-hour hydration. Fragrance-free. Non-comedogenic. Accepted by National Eczema Association."
785923826233,"Mrs. Meyer's Clean Day Dish Soap","Made with essential oils. Plant-derived cleaning ingredients. Biodegradable formula. No animal testing. Removes grease naturally. Aromatherapeutic scent."
012000161551,"Gatorade Thirst Quencher","Scientifically formulated for athletes. Replaces electrolytes lost in sweat. No artificial sweeteners. Hydrates better than water. Trusted by pro athletes."
037000830702,"Bounty Paper Towels","2x more absorbent than the leading ordinary brand. Made from sustainably sourced fibers. Chlorine-free processing. Strong when wet. Compostable."
041554227556,"Banana Boat Kids Sunscreen SPF 50+","Pediatrician tested. Tear-free formula. Water resistant (80 minutes). Won't clog pores. UVA/UVB protection. Reef-safe. Oxybenzone-free."
312547781138,"Neutrogena Hydro Boost Water Gel","Oil-free. Non-comedogenic. Instantly quenches skin for 48 hours of hydration. With hyaluronic acid. Dye-free. Dermatologist recommended."
038000291463,"Pringles Original Potato Crisps","Made from real potatoes. No artificial flavors. Gluten-free. Low cholesterol. Perfectly shaped for consistent taste."
041167060810,"La Roche-Posay Anthelios SPF 60","#1 dermatologist recommended sunscreen brand worldwide. Superior broad spectrum protection. Water resistant (80 minutes). Oil-free. Tested on sensitive skin. Antioxidant protection."
305730169608,"Cetaphil Gentle Skin Cleanser","Dermatologist recommended for 70 years. Won't strip natural oils. Hypoallergenic. Non-comedogenic. pH balanced. Clinically proven gentle formula."
